MISC_ASSET_TYPE,MISC_ASSET_TYPE2,FACILITYID,LEGACYID,MATERIAL,LENGTH,NAME,RESPONSIBILITY,ROTATION,STATUS,PROJECT_NO,YR,OWNER,LOCATION,COMMENTS,GIS_ENTRY_STAGE,WARRANTYDATE,CONDITION,CONDITIONDATE,YTD_COST,LIFECYCLE_COST,CRE_DATE,MOD_DATE,Latitude,Longitude
0,Railway Crossing,1001417967,,,,BNR @ ELEVATOR RD,,,In Service,,,Surrey,,"SURREY 100%, OTHER 0%: JUNIOR",,,,,,,20120710,20190319,49.178080,-122.912832
0,Railway Crossing,1001417964,,,,CNR @ PARTON RD,,,In Service,,,Surrey,,MAINT UNKNOWN: JUNIOR,,,,,,,20120710,20160120,49.197384,-122.894265
0,Railway Crossing,1000959780,,,,CNR @ TIMBERLAND RD,,,In Service,,,Surrey,,"SURREY 50%, OTHER 50%: JUNIOR",,,,,,,20081203,20190319,49.198479,-122.894639
0,Railway Crossing,1001417961,,,,,,,In Service,,,Surrey,,,,,,,,,20120710,20160122,49.093928,-122.874743
0,Railway Crossing,1001417695,,,,SRBC @ 72 AVE,,,In Service,,,Surrey,,"SURREY 17.5%, OTHER 82.5%: SENIOR",,,,,,,20120706,20190319,49.133575,-122.848090
0,Railway Crossing,1001193916,,,,SRBC @ 148 ST,,,In Service,,,Surrey,,SURREY 100%: SENIOR,,,,,,,20110329,20190319,49.119457,-122.812178
0,Railway Crossing,1001417968,,,,CNR @ ELEVATOR RD,,,In Service,,,Surrey,,"SURREY 0%, OTHER 100%",,,,,,,20120710,20190319,49.178078,-122.915736
0,Railway Crossing,1000959796,,,,SRBC @ 88 AVE,,,In Service,,,Surrey,,"SURREY 0%, OTHER 100%:JUNIOR",,,,,,,20081203,20190319,49.163210,-122.887971
0,Railway Crossing,1000959798,,,,SRBC @ OLD YALE RD,,,In Service,,,Surrey,,"SURREY 0%,  OTHER 100%: JUNIOR",,,,,,,20081203,20190319,49.197510,-122.874321
0,Railway Crossing,1001417838,,,,SRBC @ 132 ST,,,In Service,,,Surrey,,"SURREY 0%, OTHER 100%: JUNIOR",,,,,,,20120710,20190319,49.140933,-122.856760
0,Railway Crossing,1002036201,,,,80 Avenue,,,,,,Surrey,,,,,,,,,20180522,20180522,49.148160,-122.864457
0,Railway Crossing,1001417704,,,,SRBC @ 152 ST,,,In Service,,,Surrey,,SURREY 100%: SENIOR,,,,,,,20120706,20190319,49.118838,-122.800992
0,Railway Crossing,1001417963,,,,BCR @ 168 ST,,,In Service,,,Surrey,,"SURREY 0%, OTHER 100%: SENIOR",,,,,,,20120710,20160120,49.100418,-122.756625
0,Railway Crossing,1001192255,,,,CPR @ 56 AVE,,,In Service,,,Surrey,,,Final AB,,,,,,20110318,20190502,49.104418,-122.767509
0,Railway Crossing,1001082173,,,,SRBC @ TANNERY RD,,,In Service,,,Surrey,,MAINT % UNKNOWN,,,,,,,20090212,20160120,49.197608,-122.895827
0,Railway Crossing,1000959797,,,,SRBC @ 120 ST,,,In Service,,,Surrey,,"SURREY 25%, OTHER 75%:SENIOR",,,,,,,20081203,20190319,49.168317,-122.890286
0,Railway Crossing,1001417955,,,,SRBC @ NORDEL WAY,,,In Service,,,Surrey,,"SURREY 100%, OTHER 0%: JUNIOR",,,,,,,20120710,20190319,49.162100,-122.886173
0,Railway Crossing,1000959794,,,,SRBC @ 96 AVE,,,In Service,,,Surrey,,"SURREY 0%, OTHER 100%: JUNIOR",,,,,,,20081203,20160120,49.177141,-122.893286
0,Railway Crossing,1001417706,,,,SRBC @ KING GEORGE BLVD,,,In Service,,,Surrey,,"0% SURREY, 100% SRBC: SENIOR",,,,,,,20120706,20190319,49.131454,-122.845582
0,Railway Crossing,1001417949,,,,CPR @ KING GEORGE BLVD,,,In Service,,,Surrey,,,,,,,,,20120710,20190319,49.097528,-122.819053
0,Railway Crossing,1001417952,,,,CPR @ 192 ST,,,In Service,,,Surrey,,"SURREY 0%, OTHER 100%: SENIOR",,,,,,,20120710,20190319,49.098576,-122.801098
0,Railway Crossing,1001417956,,,,BCR @ 157 ST,,,In Service,,,Surrey,,"SURREY 0%, OTHER 100%: SENIOR",,,,,,,20120710,20160120,49.099344,-122.787954
0,Railway Crossing,1001417839,,,,,,,In Service,,,Surrey,,,,,,,,,20120710,20160122,49.109314,-122.778702
0,Railway Crossing,1001417712,,,,CPR @ 192 ST,,,In Service,,,Surrey,,"SURREY 0%, OTHER 100%: JUNIOR",,,,,,,20120706,20190319,49.097235,-122.691259
