the_geom,SITE_ID,CD,Borough,BBL,House__,Street_Nam,Street_On,From_Stree,To_Street,Side_of_St,Asset_Type,Latitude,Longitude
POINT (-73.97851 40.68679),18941,,Brooklyn,,15,LAFAYETTE AV,LAFAYETTE AV,FLATBUSH AV,ASHLAND PL,,Bike Rack,40.68679,-73.97851
POINT (-73.97851 40.68679),18940,,Brooklyn,,15,LAFAYETTE AV,LAFAYETTE AV,FLATBUSH AV,ASHLAND PL,,Bike Rack,40.68679,-73.97851
POINT (-73.97851 40.68679),18939,,Brooklyn,,15,LAFAYETTE AV,LAFAYETTE AV,FLATBUSH AV,ASHLAND PL,,Bike Rack,40.68679,-73.97851
POINT (-73.978633 40.684012),18658,,Brooklyn,,24,4 AV,4 AV,ATLANTIC AV,PACIFIC ST,,Bike Rack,40.684012,-73.978633
POINT (-73.975805 40.687072),18995,,Brooklyn,,65,LAFAYETTE AV,LAFAYETTE AV,S ELLIOTT PL,FORT GREENE PL,,Bike Rack,40.687072,-73.975805
POINT (-73.955151 40.720247),19421,,Brooklyn,,104,BEDFORD AV,BEDFORD AV,N 12 ST,n 11 st,,Bike Rack,40.720247,-73.955151
POINT (-73.955151 40.720247),19420,,Brooklyn,,104,BEDFORD AV,BEDFORD AV,N 12 ST,n 11 st,,Bike Rack,40.720247,-73.955151
POINT (-73.955151 40.720247),19419,,Brooklyn,,104,BEDFORD AV,BEDFORD AV,N 12 ST,n 11 st,,Bike Rack,40.720247,-73.955151
POINT (-73.972513 40.652009),11709,,Brooklyn,,251,PROSPECT PK SW,PROSPECT PK SW,parkside av,greenwood av,W,Bike Rack,40.652009,-73.972513
POINT (-73.995007 40.680009),10465,,Brooklyn,,349,SMITH ST,SMITH ST,1 PL,CARROLL ST,W,Bike Rack,40.680009,-73.995007
POINT (-73.960992 40.67695),14017,,Brooklyn,,422,ST MARKS AV,ST MARKS AV,GRAND AV,CLASSON AV,,Bike Rack,40.67695,-73.960992
POINT (-73.988756 40.670289),16889,,Brooklyn,,437,4 AV,4 AV,9 ST,10 ST,,Bike Rack,40.670289,-73.988756
POINT (-73.986245 40.680253),18936,,Brooklyn,,534,DE GRAW ST,DE GRAW ST,3 AV,NEVINS ST,,Bike Rack,40.680253,-73.986245
POINT (-73.986245 40.680253),18935,,Brooklyn,,534,DE GRAW ST,DE GRAW ST,3 AV,NEVINS ST,,Bike Rack,40.680253,-73.986245
POINT (-73.977731 40.66504),44253,,Brooklyn,,649,9 ST,9 ST,prospect park west,8 av,,Bike Rack,40.66504,-73.977731
POINT (-73.979226 40.680732),17850,,Brooklyn,,660,WARREN ST,WARREN ST,5 AV,4 AV,,Bike Rack,40.680732,-73.979226
POINT (-73.956291 40.581952),46071,,Brooklyn,3087070075,10,BRIGHTON 11 ST,BRIGHTON 11 ST,NEPTUNE AV,BRIGHTON BEACH AV,,Bike Rack,40.581952,-73.956291
POINT (-73.956291 40.581952),46070,,Brooklyn,3087070075,10,BRIGHTON 11 ST,BRIGHTON 11 ST,NEPTUNE AV,BRIGHTON BEACH AV,,Bike Rack,40.581952,-73.956291
POINT (-73.950943 40.663492),44209,,Brooklyn,3013150042,1022,NOSTRAND AV,NOSTRAND AV,,,,Bike Rack,40.663492,-73.950943
POINT (-73.976369 40.654305),13180,,Brooklyn,,1079,PROSPECT AV,PROSPECT AV,TERRACE PL,VANDERBILT AV,W,Bike Rack,40.654305,-73.976369
POINT (-73.976369 40.654305),13179,,Brooklyn,,1079,PROSPECT AV,PROSPECT AV,TERRACE PL,VANDERBILT AV,W,Bike Rack,40.654305,-73.976369
POINT (-73.97067 40.697369),45151,,Brooklyn,3018720020,11,VANDERBILT AV,VANDERBILT AV,,,,Bike Rack,40.697369,-73.97067
POINT (-73.930515 40.668773),44243,,Brooklyn,3013910078,1133,EASTERN PY,EASTERN PY,,,,Bike Rack,40.668773,-73.930515
POINT (-73.987492 40.702461),44179,,Brooklyn,3000400001,141,FRONT ST,FRONT ST,PEARL ST,JAY ST,,Bike Rack,40.702461,-73.987492
POINT (-73.987189 40.70245),44181,,Brooklyn,3000400001,151,FRONT ST,FRONT ST,PEARL ST,JAY ST,,Bike Rack,40.70245,-73.987189
POINT (-73.987189 40.70245),44180,,Brooklyn,3000400001,151,FRONT ST,FRONT ST,PEARL ST,JAY ST,,Bike Rack,40.70245,-73.987189
POINT (-74.014363 40.677969),44204,,Brooklyn,3005750003,173,CONOVER ST,CONOVER ST,DIKEMAN ST,WOLCOTT ST,,Bike Rack,40.677969,-74.014363
POINT (-74.014363 40.677969),44203,,Brooklyn,3005750003,173,CONOVER ST,CONOVER ST,DIKEMAN ST,WOLCOTT ST,,Bike Rack,40.677969,-74.014363
POINT (-74.014363 40.677969),44202,,Brooklyn,3005750003,173,CONOVER ST,CONOVER ST,DIKEMAN ST,WOLCOTT ST,,Bike Rack,40.677969,-74.014363
POINT (-73.982305 40.693614),45264,,Brooklyn,3020500001,177,MYRTLE AV,MYRTLE AV,,,,Bike Rack,40.693614,-73.982305
POINT (-73.982305 40.693614),45263,,Brooklyn,3020500001,177,MYRTLE AV,MYRTLE AV,,,,Bike Rack,40.693614,-73.982305
POINT (-73.948474 40.640465),44210,,Brooklyn,3052160016,1856,NOSTRAND AV,NOSTRAND AV,,,,Bike Rack,40.640465,-73.948474
POINT (-73.94847 40.640423),44211,,Brooklyn,3052160017,1858,NOSTRAND AV,NOSTRAND AV,,,,Bike Rack,40.640423,-73.94847
POINT (-73.986283 40.67257),16894,,Brooklyn,,208,5 ST,5 ST,5 av,4 av,,Bike Rack,40.67257,-73.986283
POINT (-73.923086 40.705145),44201,,Brooklyn,3031990016,214,STARR ST,STARR ST,,,,Bike Rack,40.705145,-73.923086
POINT (-73.972513 40.652009),11708,,Brooklyn,,251,PROSPECT PK SW,PROSPECT PK SW,parkside av,greenwood av,W,Bike Rack,40.652009,-73.972513
POINT (-73.99739 40.682828),45240,,Brooklyn,,259,UNION ST,UNION ST,clinton st,court st,,Bike Rack,40.682828,-73.99739
POINT (-73.99739 40.682828),45239,,Brooklyn,,259,UNION ST,UNION ST,clinton st,court st,,Bike Rack,40.682828,-73.99739
POINT (-73.912214 40.703666),44197,,Brooklyn,,264,CYPRESS AV,CYPRESS AV,greene av,bleecker st,,Bike Rack,40.703666,-73.912214
POINT (-73.964777 40.711983),45254,,Brooklyn,3024420025,338,BERRY ST,BERRY ST,,,,Bike Rack,40.711983,-73.964777
POINT (-73.964777 40.711983),45253,,Brooklyn,3024420025,338,BERRY ST,BERRY ST,,,,Bike Rack,40.711983,-73.964777
POINT (-73.964777 40.711983),45252,,Brooklyn,3024420025,338,BERRY ST,BERRY ST,,,,Bike Rack,40.711983,-73.964777
POINT (-73.972226 40.693216),45265,,Brooklyn,3020730028,354,MYRTLE AV,MYRTLE AV,,,,Bike Rack,40.693216,-73.972226
POINT (-73.971642 40.693194),45290,,Brooklyn,3020747501,364,MYRTLE AV,MYRTLE AV,,,,Bike Rack,40.693194,-73.971642
POINT (-73.99098 40.699994),3110,,Brooklyn,,43,CADMAN PLZ W,CADMAN PLZ W,MIDDAGH ST,CRANBERRY ST,,Bike Rack,40.699994,-73.99098
POINT (-73.967495 40.693262),45267,,Brooklyn,3019030021,448,MYRTLE AV,MYRTLE AV,,,,Bike Rack,40.693262,-73.967495
POINT (-73.98222 40.685926),45251,,Brooklyn,3001797505,461,ATLANTIC AV,ATLANTIC AV,3 AV,NEVINS ST,,Bike Rack,40.685926,-73.98222
POINT (-73.966056 40.693429),45268,,Brooklyn,3018900085,481,MYRTLE AV,MYRTLE AV,,,,Bike Rack,40.693429,-73.966056
POINT (-73.998803 40.692693),45134,,Brooklyn,3002590006,49,COLUMBIA PL,COLUMBIA PL,JORALEMON ST,state st,,Bike Rack,40.692693,-73.998803
POINT (-73.965493 40.693462),45279,,Brooklyn,3019050019,490,MYRTLE AV,MYRTLE AV,,,,Bike Rack,40.693462,-73.965493
POINT (-73.965493 40.693462),45278,,Brooklyn,3019050019,490,MYRTLE AV,MYRTLE AV,,,,Bike Rack,40.693462,-73.965493
POINT (-73.965493 40.693462),45277,,Brooklyn,3019050019,490,MYRTLE AV,MYRTLE AV,,,,Bike Rack,40.693462,-73.965493
POINT (-73.965179 40.693508),45276,,Brooklyn,3018910078,497,MYRTLE AV,MYRTLE AV,,,,Bike Rack,40.693508,-73.965179
POINT (-73.951871 40.715555),44235,,Brooklyn,3023150026,497,UNION AV,UNION AV,,,,Bike Rack,40.715555,-73.951871
POINT (-73.986641 40.703397),44183,,Brooklyn,3000300012,50,JAY ST,JAY ST,PLYMOUTH ST,WATER ST,,Bike Rack,40.703397,-73.986641
POINT (-73.986641 40.703397),44182,,Brooklyn,3000300012,50,JAY ST,JAY ST,PLYMOUTH ST,WATER ST,,Bike Rack,40.703397,-73.986641
POINT (-73.982677 40.703525),44187,,Brooklyn,3000320026,50,GOLD ST,GOLD ST,WATER ST,PLYMOUTH ST,,Bike Rack,40.703525,-73.982677
POINT (-73.964602 40.693571),45275,,Brooklyn,3018920075,507,MYRTLE AV,MYRTLE AV,,,,Bike Rack,40.693571,-73.964602
POINT (-73.963824 40.693662),45274,,Brooklyn,3018930060,521,MYRTLE AV,MYRTLE AV,,,,Bike Rack,40.693662,-73.963824
POINT (-73.963452 40.693705),45273,,Brooklyn,3018930054,529,MYRTLE AV,MYRTLE AV,,,,Bike Rack,40.693705,-73.963452
POINT (-73.963452 40.693705),45272,,Brooklyn,3018930054,529,MYRTLE AV,MYRTLE AV,,,,Bike Rack,40.693705,-73.963452
POINT (-73.963005 40.693741),45270,,Brooklyn,,538,MYRTLE AV,MYRTLE AV,hall st,emerson pl,,Bike Rack,40.693741,-73.963005
POINT (-73.963005 40.693741),45269,,Brooklyn,,538,MYRTLE AV,MYRTLE AV,hall st,emerson pl,,Bike Rack,40.693741,-73.963005
POINT (-73.962605 40.693815),45271,,Brooklyn,3018940056,545,MYRTLE AV,MYRTLE AV,,,,Bike Rack,40.693815,-73.962605
POINT (-73.944825 40.717127),14768,,Brooklyn,,635,GRAHAM AV,GRAHAM AV,WITHERS ST,JACKSON ST,W,Bike Rack,40.717127,-73.944825
POINT (-73.944463 40.714928),15627,,Brooklyn,,657,GRAHAM AV,GRAHAM AV,CONSELYEA ST,METROPOLITAN AV,,Bike Rack,40.714928,-73.944463
POINT (-73.944463 40.714928),15626,,Brooklyn,,657,GRAHAM AV,GRAHAM AV,CONSELYEA ST,METROPOLITAN AV,,Bike Rack,40.714928,-73.944463
POINT (-73.986681 40.702763),44184,,Brooklyn,3000400001,68,JAY ST,JAY ST,FRONT ST,WATER ST,,Bike Rack,40.702763,-73.986681
POINT (-73.986688 40.702667),44186,,Brooklyn,3000400001,72,JAY ST,JAY ST,FRONT ST,WATER ST,,Bike Rack,40.702667,-73.986688
POINT (-73.986688 40.702667),44185,,Brooklyn,3000400001,72,JAY ST,JAY ST,FRONT ST,WATER ST,,Bike Rack,40.702667,-73.986688
POINT (-73.961919 40.682432),44241,,Brooklyn,3020140030,974,FULTON ST,FULTON ST,,,,Bike Rack,40.682432,-73.961919
POINT (-73.96242 40.720763),19220,301,Brooklyn,,2,N 7 ST,N 7 ST,KENT AV,dead end,,Bike Rack,40.720763,-73.96242
POINT (-73.928416 40.706032),23765,301,Brooklyn,,38,PORTER AV,PORTER AV,THAMES ST,GRATTAN ST,E,Bike Rack,40.706032,-73.928416
POINT (-73.933462 40.705848),44660,301,Brooklyn,3030920022,63,BOGART ST,BOGART ST,MC KIBBIN ST,seigel st,,Bike Rack,40.705848,-73.933462
POINT (-73.933462 40.705848),44659,301,Brooklyn,3030920022,63,BOGART ST,BOGART ST,MC KIBBIN ST,seigel st,,Bike Rack,40.705848,-73.933462
POINT (-73.933462 40.705848),44658,301,Brooklyn,3030920022,63,BOGART ST,BOGART ST,MC KIBBIN ST,seigel st,,Bike Rack,40.705848,-73.933462
POINT (-73.964324 40.707973),41420,301,Brooklyn,,451,BEDFORD AV,BEDFORD AV,DIVISON ST,s 9 st,,Bike Rack,40.707973,-73.964324
POINT (-73.942242 40.701226),188,301,Brooklyn,3031260001,1,GRAHAM AV,GRAHAM AV,BROADWAY,DEBEVOISE ST,W,Bike Rack,40.701226,-73.942242
POINT (-73.931974 40.707695),40595,301,Brooklyn,3029920010,1,KNICKERBOCKER AV,KNICKERBOCKER AV,INGRAHAM ST,JOHNSON AV,E,Bike Rack,40.707695,-73.931974
POINT (-73.951321 40.723797),1079,301,Brooklyn,3026450033,10,BEDFORD AV,BEDFORD AV,LORIMER ST,MANHATTAN AV,W,Bike Rack,40.723797,-73.951321
POINT (-73.963391 40.719514),14732,301,Brooklyn,3023407502,10,N 5 ST,N 5 ST,NORTHSIDE PIERS,KENT AV,S,Bike Rack,40.719514,-73.963391
POINT (-73.963391 40.719514),14731,301,Brooklyn,3023407502,10,N 5 ST,N 5 ST,NORTHSIDE PIERS,KENT AV,S,Bike Rack,40.719514,-73.963391
POINT (-73.928201 40.705247),23773,301,Brooklyn,3030140014,10,PORTER AV,PORTER AV,THAMES AV,FLUSHING AV,W,Bike Rack,40.705247,-73.928201
POINT (-73.928201 40.705247),15004,301,Brooklyn,3030140014,10,PORTER AV,PORTER AV,THAMES ST,FLUSHING AV,W,Bike Rack,40.705247,-73.928201
POINT (-73.963943 40.712263),39242,301,Brooklyn,3024430013,100,S 4 ST,S 4 ST,,,,Bike Rack,40.712263,-73.963943
POINT (-73.963943 40.712263),39241,301,Brooklyn,3024430013,100,S 4 ST,S 4 ST,,,,Bike Rack,40.712263,-73.963943
POINT (-73.949794 40.724093),44664,301,Brooklyn,3026810001,100,NASSAU AV,LEONARD ST,,,,Bike Rack,40.724093,-73.949794
POINT (-73.948056 40.719207),15035,301,Brooklyn,3027230007,100,BAYARD ST,LEONARD ST,BAYARD ST,RICHARDSON ST,E,Bike Rack,40.719207,-73.948056
POINT (-73.948056 40.719207),15034,301,Brooklyn,3027230007,100,BAYARD ST,LEONARD ST,BAYARD ST,RICHARDSON ST,E,Bike Rack,40.719207,-73.948056
POINT (-73.96196 40.716709),934,301,Brooklyn,3023587501,100,N 3 ST,N 3 ST,BERRY ST,WYTHE AV,,Bike Rack,40.716709,-73.96196
POINT (-73.94065 40.718487),15118,301,Brooklyn,3028570040,100,WOODPOINT RD,WOODPOINT RD,FROST ST,FROST ST,W,Bike Rack,40.718487,-73.94065
POINT (-73.940642 40.711852),15143,301,Brooklyn,3027900022,100,BUSHWICK AV,BUSHWICK AV,GRAND ST,MAUJER ST,W,Bike Rack,40.711852,-73.940642
POINT (-73.940642 40.711852),15141,301,Brooklyn,3027900022,100,BUSHWICK AV,BUSHWICK AV,GRAND ST,MAUJER ST,W,Bike Rack,40.711852,-73.940642
POINT (-73.948808 40.725778),15088,301,Brooklyn,3026500003,100,MC GUINNESS BL,MC GUINNESS BL,NASSAU AV,NORMAN AV,E,Bike Rack,40.725778,-73.948808
POINT (-73.948808 40.725778),15087,301,Brooklyn,3026500003,100,MC GUINNESS BL,MC GUINNESS BL,NASSAU AV,NORMAN AV,E,Bike Rack,40.725778,-73.948808
POINT (-73.96196 40.716709),14717,301,Brooklyn,3023587501,100,N 3 ST,N 3 ST,WYTHE AV,BERRY ST,S,Bike Rack,40.716709,-73.96196
POINT (-73.96213 40.716835),14716,301,Brooklyn,3023507501,101,N 3 ST,N 3 ST,WYTHE AV,BERRY ST,N,Bike Rack,40.716835,-73.96213
POINT (-73.96213 40.716835),14715,301,Brooklyn,3023507501,101,N 3 ST,N 3 ST,WYTHE AV,BERRY ST,N,Bike Rack,40.716835,-73.96213
POINT (-73.954821 40.733542),28392,301,Brooklyn,3025220040,1013,MANHATTAN AV,MANHATTAN AV,HURON ST,GREEN ST,W,Bike Rack,40.733542,-73.954821
POINT (-73.964554 40.710715),14935,301,Brooklyn,3024710010,102,S 6 ST,S 6 ST,BEDFORD AV,BERRY ST,N,Bike Rack,40.710715,-73.964554
POINT (-73.964554 40.710715),14934,301,Brooklyn,3024710010,102,S 6 ST,S 6 ST,BEDFORD AV,BERRY ST,N,Bike Rack,40.710715,-73.964554
POINT (-73.949708 40.72412),15059,301,Brooklyn,,102,NASSAU AV,NASSAU AV,LEONARD ST,ECKFORD ST,S,Bike Rack,40.72412,-73.949708
POINT (-73.954893 40.733982),6797,301,Brooklyn,3025120048,1025,MANHATTAN AV,MANHATTAN AV,FREEMAN ST,GREEN ST,W,Bike Rack,40.733982,-73.954893
POINT (-73.96357 40.715408),2078,301,Brooklyn,3023790036,103,GRAND ST,GRAND ST,BERRY ST,WYTHE AV,N,Bike Rack,40.715408,-73.96357
POINT (-73.94288 40.705285),17217,301,Brooklyn,3030790028,103,GRAHAM AV,GRAHAM AV,BOERUM ST,MC KIBBIN ST,W,Bike Rack,40.705285,-73.94288
POINT (-73.955992 40.730041),2391,301,Brooklyn,3025580068,103,GREENPOINT AV,GREENPOINT AV,MANHATTAN AV,FRANKLIN ST,,Bike Rack,40.730041,-73.955992
POINT (-73.96305 40.716583),14805,301,Brooklyn,3023580037,103,METROPOLITAN AV,WYTHE AV,N 3 ST,METROPOLITAN AV,E,Bike Rack,40.716583,-73.96305
POINT (-73.958496 40.719101),6385,301,Brooklyn,3023190008,103,BERRY ST,BERRY ST,N 8 ST,N 7 ST,,Bike Rack,40.719101,-73.958496
POINT (-73.962076 40.716799),23356,301,Brooklyn,3023500026,103,N 3 ST,N 3 ST,WYTHE AV,BERRY ST,,Bike Rack,40.716799,-73.962076
POINT (-73.96305 40.716583),4122,301,Brooklyn,3023580037,103,METROPOLITAN AV,METROPOLITAN AV,WYTHE AV,BERRY ST,N,Bike Rack,40.716583,-73.96305
POINT (-73.954885 40.734072),920,301,Brooklyn,3025130004,1030,MANHATTAN AV,MANHATTAN AV,GREEN ST,FREEMAN ST,E,Bike Rack,40.734072,-73.954885
POINT (-73.931023 40.703832),19348,301,Brooklyn,3030120032,1031,FLUSHING AV,FLUSHING AV,,,,Bike Rack,40.703832,-73.931023
POINT (-73.931023 40.703832),15315,301,Brooklyn,3030120032,1031,FLUSHING AV,FLUSHING AV,VANDERVOORT PL,MORGAN AV,N,Bike Rack,40.703832,-73.931023
POINT (-73.930831 40.703909),37873,301,Brooklyn,3030120029,1037,FLUSHING AV,FLUSHING AV,MORGAN AV,VANDERVOORT PL,N,Bike Rack,40.703909,-73.930831
POINT (-73.955677 40.737866),15096,301,Brooklyn,3024780008,104,COMMERCIAL ST,COMMERCIAL ST,BOX ST,CLAY ST,N,Bike Rack,40.737866,-73.955677
POINT (-73.955677 40.737866),15095,301,Brooklyn,3024780008,104,COMMERCIAL ST,COMMERCIAL ST,BOX ST,CLAY ST,N,Bike Rack,40.737866,-73.955677
POINT (-73.963816 40.70763),6805,301,Brooklyn,3021690019,104,DIVISION AV,DIVISION AV,DRIGGS AV,BEDFORD AV,N,Bike Rack,40.70763,-73.963816
POINT (-73.941507 40.703868),7476,301,Brooklyn,3030970028,105,MOORE ST,MOORE ST,,,S,Bike Rack,40.703868,-73.941507
POINT (-73.964796 40.71041),14759,301,Brooklyn,3024710009,105,BROADWAY,BROADWAY,BEDFORD AV,BERRY ST,N,Bike Rack,40.71041,-73.964796
POINT (-73.963391 40.712842),15195,301,Brooklyn,3024170038,105,S 3 ST,S 3 ST,BERRY ST,BEDFORD AV,S,Bike Rack,40.712842,-73.963391
POINT (-73.963391 40.712842),15194,301,Brooklyn,3024170038,105,S 3 ST,S 3 ST,BERRY ST,BEDFORD AV,S,Bike Rack,40.712842,-73.963391
POINT (-73.942891 40.705349),177,301,Brooklyn,3030790027,105,GRAHAM AV,GRAHAM AV,BOERUM ST,MC KIBBIN ST,W,Bike Rack,40.705349,-73.942891
POINT (-73.959979 40.718325),1711,301,Brooklyn,3023260032,105,N 6 ST,N 6 ST,WYTHE AV,BERRY ST,N,Bike Rack,40.718325,-73.959979
POINT (-73.930175 40.704164),19347,301,Brooklyn,3030130035,1053,FLUSHING AV,FLUSHING AV,,,,Bike Rack,40.704164,-73.930175
POINT (-73.955022 40.73478),28389,301,Brooklyn,3025040042,1053,MANHATTAN AV,MANHATTAN AV,FREEMAN ST,EAGLE ST,W,Bike Rack,40.73478,-73.955022
POINT (-73.930175 40.704164),15316,301,Brooklyn,3030130035,1053,FLUSHING AV,FLUSHING AV,KNICKERBOCKER AV,VANDERVOORT PL,N,Bike Rack,40.704164,-73.930175
POINT (-73.930023 40.704224),19346,301,Brooklyn,3030130033,1057,FLUSHING AV,FLUSHING AV,,,,Bike Rack,40.704224,-73.930023
POINT (-73.930023 40.704224),15317,301,Brooklyn,3030130033,1057,FLUSHING AV,FLUSHING AV,KNICKERBOCKER AV,VANDERVOORT PL,N,Bike Rack,40.704224,-73.930023
POINT (-73.956507 40.727098),28436,301,Brooklyn,3025930016,106,CALYER ST,BANKER ST,MESEROLE AV,CALYER ST,E,Bike Rack,40.727098,-73.956507
POINT (-73.956507 40.727098),28435,301,Brooklyn,3025930016,106,CALYER ST,BANKER ST,MESEROLE AV,CALYER ST,E,Bike Rack,40.727098,-73.956507
POINT (-73.928684 40.705404),15008,301,Brooklyn,3030140014,106,THAMES ST,THAMES ST,PORTER AV,KNICKERBOCKER AV,S,Bike Rack,40.705404,-73.928684
POINT (-73.928684 40.705404),15007,301,Brooklyn,3030140014,106,THAMES ST,THAMES ST,PORTER AV,KNICKERBOCKER AV,S,Bike Rack,40.705404,-73.928684
POINT (-73.928684 40.705404),15006,301,Brooklyn,3030140014,106,THAMES ST,THAMES ST,PORTER AV,KNICKERBOCKER AV,S,Bike Rack,40.705404,-73.928684
POINT (-73.964554 40.710734),45175,301,Brooklyn,3024560034,107,S 6 ST,S 6 ST,,,,Bike Rack,40.710734,-73.964554
POINT (-73.964554 40.710734),45174,301,Brooklyn,3024560034,107,S 6 ST,S 6 ST,,,,Bike Rack,40.710734,-73.964554
POINT (-73.964554 40.710734),45173,301,Brooklyn,3024560034,107,S 6 ST,S 6 ST,,,,Bike Rack,40.710734,-73.964554
POINT (-73.950756 40.72596),19564,301,Brooklyn,3026210032,107,NORMAN AV,NORMAN AV,,,,Bike Rack,40.72596,-73.950756
POINT (-73.949632 40.724164),15056,301,Brooklyn,3026480037,107,NASSAU AV,NASSAU AV,LEONARD ST,ECKFORD ST,N,Bike Rack,40.724164,-73.949632
POINT (-73.949632 40.724164),15055,301,Brooklyn,3026480037,107,NASSAU AV,NASSAU AV,LEONARD ST,ECKFORD ST,N,Bike Rack,40.724164,-73.949632
POINT (-73.949632 40.724164),15054,301,Brooklyn,3026480037,107,NASSAU AV,NASSAU AV,LEONARD ST,ECKFORD ST,N,Bike Rack,40.724164,-73.949632
POINT (-73.955852 40.730054),2392,301,Brooklyn,3025580066,107,GREENPOINT AV,GREENPOINT AV,MANHATTAN AV,FRANKLIN ST,,Bike Rack,40.730054,-73.955852
POINT (-73.955116 40.735354),6798,301,Brooklyn,3024950048,1071,MANHATTAN AV,MANHATTAN AV,EAGLE ST,DUPONT ST,W,Bike Rack,40.735354,-73.955116
POINT (-73.929067 40.7046),19345,301,Brooklyn,3030130023,1077,FLUSHING AV,FLUSHING AV,,,,Bike Rack,40.7046,-73.929067
POINT (-73.941284 40.703874),7475,301,Brooklyn,3031060020,108,MOORE ST,MOORE ST,,,,Bike Rack,40.703874,-73.941284
POINT (-73.956353 40.729989),2393,301,Brooklyn,3025630016,108,GREENPOINT AV,GREENPOINT AV,MANHATTAN AV,FRANKLIN ST,,Bike Rack,40.729989,-73.956353
POINT (-73.955879 40.715622),14947,301,Brooklyn,3023370022,108,ROEBLING ST,ROEBLING ST,N 6 ST,N 5 ST,W,Bike Rack,40.715622,-73.955879
POINT (-73.94279 40.70489),1444,301,Brooklyn,3030890006,108,GRAHAM AV,GRAHAM AV,SEIGEL ST,MC KIBBIN ST,E,Bike Rack,40.70489,-73.94279
POINT (-73.928901 40.704663),19344,301,Brooklyn,3030130020,1081,FLUSHING AV,FLUSHING AV,,,,Bike Rack,40.704663,-73.928901
POINT (-73.928901 40.704663),40598,301,Brooklyn,3030130020,1081,FLUSHING AV,FLUSHING AV,KNICKERBOCKER AV,MORGAN AV,N,Bike Rack,40.704663,-73.928901
POINT (-73.928901 40.704663),23767,301,Brooklyn,3030130020,1081,FLUSHING AV,FLUSHING AV,KNICKERBOCKER AV,,N,Bike Rack,40.704663,-73.928901
POINT (-73.928901 40.704663),15319,301,Brooklyn,3030130020,1081,FLUSHING AV,FLUSHING AV,KNICKERBOCKER AV,VANDERVOORT PL,N,Bike Rack,40.704663,-73.928901
POINT (-73.928901 40.704663),15318,301,Brooklyn,3030130020,1081,FLUSHING AV,FLUSHING AV,KNICKERBOCKER AV,VANDERVOORT PL,N,Bike Rack,40.704663,-73.928901
POINT (-73.928901 40.704663),40599,301,Brooklyn,3030130020,1081,FLUSHING AV,KNICKERBOCKER AV,THAMES ST,FLUSHING AV,W,Bike Rack,40.704663,-73.928901
POINT (-73.955141 40.735626),1063,301,Brooklyn,3024960006,1084,MANHATTAN AV,MANHATTAN AV,EAGLE ST,DUPONT ST,W,Bike Rack,40.735626,-73.955141
POINT (-73.928504 40.704819),14999,301,Brooklyn,3030140014,1087,FLUSHING AV,KNICKERBOCKER AV,FLUSHING AV,THAMES ST,E,Bike Rack,40.704819,-73.928504
POINT (-73.93376 40.714404),14790,301,Brooklyn,,1089,METROPOLITAN AV,METROPOLITAN AV,GRAND ST,VANDERVOORT AV,S,Bike Rack,40.714404,-73.93376
POINT (-73.964135 40.711445),9961,301,Brooklyn,3024430034,109,S 5 ST,S 5 ST,,,N,Bike Rack,40.711445,-73.964135
POINT (-73.964135 40.711445),7492,301,Brooklyn,3024430034,109,S 5 ST,S 5 ST,,,N,Bike Rack,40.711445,-73.964135
POINT (-73.96451 40.710718),8294,301,Brooklyn,3024560033,109,S 6 ST,S 6 ST,BEDFORD AV,BERRY ST,,Bike Rack,40.710718,-73.96451
POINT (-73.96451 40.710718),1724,301,Brooklyn,3024560033,109,S 6 ST,S 6 ST,BEDFORD AV,BERRY ST,,Bike Rack,40.710718,-73.96451
POINT (-73.964135 40.711445),43525,301,Brooklyn,3024430034,109,S 5 ST,S 5 ST,BERRY ST,BEDFORD AV,,Bike Rack,40.711445,-73.964135
POINT (-73.964135 40.711445),43416,301,Brooklyn,3024430034,109,S 5 ST,S 5 ST,BERRY ST,BEDFORD AV,,Bike Rack,40.711445,-73.964135
POINT (-73.945356 40.707134),14963,301,Brooklyn,3030510023,109,MONTROSE AV,MONTROSE AV,LEONARD ST,MANHATTAN AV,N,Bike Rack,40.707134,-73.945356
POINT (-73.945356 40.707134),14962,301,Brooklyn,3030510023,109,MONTROSE AV,MONTROSE AV,LEONARD ST,MANHATTAN AV,N,Bike Rack,40.707134,-73.945356
POINT (-73.929544 40.707474),23759,301,Brooklyn,3029920043,109,INGRAHAM ST,INGRAHAM ST,PORTER AV,KNICKERBOCKER AV,N,Bike Rack,40.707474,-73.929544
POINT (-73.929544 40.707474),23757,301,Brooklyn,3029920043,109,INGRAHAM ST,INGRAHAM ST,PORTER AV,KNICKERBOCKER AV,N,Bike Rack,40.707474,-73.929544
POINT (-73.929544 40.707474),15017,301,Brooklyn,3029920043,109,INGRAHAM ST,INGRAHAM ST,PORTER AV,KNICKERBOCKER AV,N,Bike Rack,40.707474,-73.929544
POINT (-73.929544 40.707474),15015,301,Brooklyn,3029920043,109,INGRAHAM ST,INGRAHAM ST,PORTER AV,KNICKERBOCKER AV,N,Bike Rack,40.707474,-73.929544
POINT (-73.929544 40.707474),15014,301,Brooklyn,3029920043,109,INGRAHAM ST,INGRAHAM ST,PORTER AV,KNICKERBOCKER AV,N,Bike Rack,40.707474,-73.929544
